page,section,group,model,variant,part_number,msrp,mode
15,Axis modular cameras,AXIS P12 Series,AXIS P1265 Mk II,,02858-021 (10 pcs),"$4,189.00 (10 pcs)",A
15,Axis modular cameras,AXIS P12 Series,AXIS P1245 Mk II,,02857-001,$409.00,A
15,Axis modular cameras,AXIS P12 Series,AXIS P1245 Mk II,,02857-021 (10 pcs),"$4,089.00 (10 pcs)",A
15,Axis modular cameras,AXIS F Series,AXIS F9104-B Mk II,,03000-001,$569.00,A
15,Axis modular cameras,AXIS F Series,AXIS F9111-R Mk II,,02998-001,$619.00,A
15,Axis modular cameras,AXIS F Series,AXIS F9114-R Mk II,,02999-001,$719.00,A
15,Axis modular cameras,AXIS F Series,AXIS F9114-B Mk II,,03001-001,$699.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2107-RE,,02868-001,$319.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2107-RE,,02868-021 (8 pcs),"$2,549.00 (8 pcs)",A
16,Axis modular cameras,AXIS F Series,AXIS F2105-RE,,02640-001,$269.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2105-RE,,02640-021 (8 pcs),"$2,149.00 (8 pcs)",A
16,Axis modular cameras,AXIS F Series,AXIS F2108,,03056-001,$249.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2108,,03056-021 (8 pcs),"$1,989.00 (8 pcs)",A
16,Axis modular cameras,AXIS F Series,AXIS F2135-RE,,02641-001,$269.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2137-RE,,02869-001,$319.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2137-RE,,02869-021 (8 pcs),"$2,549.00 (8 pcs)",A
16,Axis modular cameras,AXIS F Series,AXIS F2115-R,,02639-001,$329.00,A
16,Axis modular cameras,AXIS F Series,AXIS F7225-RE,,02363-001,$269.00,A
16,Axis modular cameras,AXIS F Series,AXIS F7225-RE,,02363-021 (8 pcs),"$2,149.00 (8 pcs)",A
16,Axis modular cameras,AXIS F Series,AXIS F4108,,03055-001,$249.00,A
16,Axis modular cameras,AXIS F Series,AXIS F4108,,03055-021 (8 pcs),"$1,989.00 (8 pcs)",A
16,Axis modular cameras,AXIS F Series,AXIS F4105-SLRE,,02927-001,$529.00,A
16,Axis modular cameras,AXIS F Series,AXIS F4105-SLRE,,02927-021 (8 pcs),"$4,229.00 (8 pcs)",A
16,Axis modular cameras,AXIS F Series,AXIS F4105-LRE,,02364-001,$339.00,A
16,Axis modular cameras,AXIS F Series,AXIS F4105-LRE,,02364-021 (8 pcs),"$2,709.00 (8 pcs)",A
17,Axis modular cameras,AXIS FA Series,AXIS FA54,,0878-004,$519.00,A
17,Axis modular cameras,AXIS FA Series,AXIS FA51-B,,02196-041 (10 pcs),"$2,999.00 (10 pcs)",A
17,Axis modular cameras,AXIS FA Series,AXIS FA51,,02196-001,$339.00,A
17,Axis modular cameras,AXIS FA Series,AXIS FA41151,,01001-001,$199.00,A
17,Axis modular cameras,AXIS FA Series,AXIS FA3105-L1,,01026-001,$169.00,A
17,Axis modular cameras,AXIS FA Series,AXIS FA11251,,0914-001,$169.00,A
17,Axis modular cameras,AXIS FA Series,AXIS FA11051,,0913-001,$159.00,A
18,Axis dome cameras,AXIS Q93,AXIS Q9307-LV,,02487-001,"$1,499.00",A
18,Axis dome cameras,AXIS Q92,AXIS Q9227-SLV,Steel,03138-001,"$1,399.00",A
18,Axis dome cameras,AXIS Q92,AXIS Q9227-SLV,White,03139-001,"$1,399.00",A
18,Axis dome cameras,AXIS Q36 Series,AXIS Q3628-VE,,02617-004,"$1,799.00",A
18,Axis dome cameras,AXIS Q36 Series,AXIS Q3626-VE,,02616-004,"$1,479.00",A
18,Axis dome cameras,AXIS Q35 Series,AXIS Q3558-LVE,,03206-001,"$1,589.00",A
18,Axis dome cameras,AXIS Q35 Series,AXIS Q3556-LVE,10 mm,03204-001,"$1,379.00",A
18,Axis dome cameras,AXIS Q35 Series,AXIS Q3556-LVE,51 mm,03205-001,"$1,379.00",A
18,Axis dome cameras,AXIS Q35 Series,AXIS Q3548-LVE,,02973-001,"$1,589.00",A
18,Axis dome cameras,AXIS Q35 Series,AXIS Q3546-LVE,,02971-001,"$1,379.00",A
18,Axis dome cameras,AXIS Q35 Series,AXIS Q3538-SLVE,,02463-001,"$1,899.00",A
19,Axis dome cameras,AXIS P91,AXIS P9117-PV,,02864-001,$789.00,A
19,Axis dome cameras,AXIS P39 Series,AXIS P3935-LR,,01919-001,$629.00,A
19,Axis dome cameras,AXIS P39 Series,AXIS P3925-R,,01920-001,$579.00,A
19,Axis dome cameras,AXIS P39 Series,AXIS P3925-LRE,,02090-001,"$1,059.00",A
19,Axis dome cameras,AXIS P39 Series,AXIS P3905-R Mk III,,02670-001,$429.00,A
20,Axis dome cameras,AXIS P32 Series,AXIS P3288-LVE,,02986-001,"$1,099.00",A
20,Axis dome cameras,AXIS P32 Series,AXIS P3288-LV,,02985-001,$999.00,A
20,Axis dome cameras,AXIS P32 Series,AXIS P3287-LVE,,02984-001,$999.00,A
20,Axis dome cameras,AXIS P32 Series,AXIS P3287-LV,,02983-001,$849.00,A
20,Axis dome cameras,AXIS P32 Series,AXIS P3285-LVE,10 mm,02981-001,$799.00,A
20,Axis dome cameras,AXIS P32 Series,AXIS P3285-LVE,29 mm,02982-001,$799.00,A
20,Axis dome cameras,AXIS P32 Series,AXIS P3285-LV,,02980-001,$679.00,A
21,Axis dome cameras,AXIS P32 Series,AXIS P3278-LVE,,03155-001,"$1,099.00",A
21,Axis dome cameras,AXIS P32 Series,AXIS P3278-LV,,03154-001,$999.00,A
21,Axis dome cameras,AXIS P32 Series,AXIS P3277-LVE,,03153-001,$999.00,A
21,Axis dome cameras,AXIS P32 Series,AXIS P3277-LV,,03152-001,$849.00,A
21,Axis dome cameras,AXIS P32 Series,AXIS P3275-LVE,10 mm,03150-001,$799.00,A
21,Axis dome cameras,AXIS P32 Series,AXIS P3275-LVE,29 mm,03151-001,$799.00,A
21,Axis dome cameras,AXIS P32 Series,AXIS P3275-LV,,03149-001,$679.00,A
21,Axis dome cameras,AXIS P32 Series,AXIS P3268-SLVE,,02710-001,"$1,429.00",A
21,Axis dome cameras,AXIS P32 Series,AXIS P3265-V,,02326-001,$589.00,A
22,Axis dome cameras,AXIS M39,AXIS M3905-R,,02501-001,$349.00,A
22,Axis dome cameras,AXIS M32 Series,AXIS M3216-LVE,,02372-001,$729.00,A
